학교명,1학년 전입학생수,1학년 전출학생수,2학년 전입학생수,2학년 전출학생수,3학년 전입학생수,3학년 전출학생수,4학년 전입학생수,4학년 전출학생수,5학년 전입학생수,5학년 전출학생수,6학년 전입학생수,6학년 전출학생수,전입학생수(계),전출학생수(계),전체학생수(계)
성북초등학교,0,0,0,0,0,1,1,0,0,0,0,1,1,2,35
영만초등학교,2,3,5,2,3,3,0,2,4,4,1,2,15,16,522
웅포초등학교,0,1,0,0,0,0,1,0,0,1,0,0,1,2,24
이리남창초등학교,1,1,1,1,2,1,0,0,0,2,0,0,4,5,82
이리동북초등학교,1,3,2,1,3,5,1,2,4,1,1,1,12,13,301
이리신흥초등학교,0,0,1,1,1,1,0,0,0,1,0,0,2,3,57
이리영등초등학교,8,2,6,7,3,4,2,8,5,2,2,4,26,27,699
춘포초등학교,0,1,0,2,3,2,0,0,1,0,0,0,4,5,92
삼계초등학교,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19
오수초등학교,1,2,1,0,1,1,1,3,2,1,0,0,6,7,86
임실기림초등학교,1,1,0,0,0,2,1,0,0,2,2,0,4,5,51
청웅초등학교,0,0,0,1,1,0,0,1,1,0,0,1,2,3,25
계북초등학교,0,0,0,0,0,1,0,0,0,0,0,0,0,1,42
번암초등학교,0,0,0,0,0,0,1,2,1,0,0,1,2,3,50
천천초등학교,1,0,0,0,0,1,0,0,1,1,0,1,2,3,31
전주대성초등학교,0,0,2,1,0,0,0,2,0,0,0,0,2,3,53
전주신성초등학교,2,0,6,3,3,3,4,4,2,7,0,1,17,18,471
전주완산초등학교,0,1,0,1,1,0,0,0,0,0,0,0,1,2,79
전주팔복초등학교,0,1,0,0,0,0,0,0,0,0,0,0,0,1,73
백암초등학교,0,0,0,0,0,0,0,1,0,0,0,0,0,1,37
서신초등학교,1,1,1,0,1,2,0,0,1,2,0,0,4,5,61
부귀초등학교,0,0,1,1,0,0,0,0,0,0,0,1,1,2,53
송풍초등학교,0,0,0,1,0,0,1,0,0,1,0,0,1,2,9
오천초등학교,0,0,0,1,1,0,0,1,2,1,0,1,3,4,29
칠량초등학교,0,0,1,1,1,1,1,1,1,1,0,1,4,5,43
도덕초등학교,0,0,0,0,0,1,0,0,0,0,0,0,0,1,44
